"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1963","Registration with correct email, username and password","LMS System","Tue Dec 09 02:15:17 UTC 2025","passed","Tue Dec 09 02:15:19 UTC 2025","Registration","Authentification","",""
"","0","test_regression_case","tests.pytest","Tue Dec 09 02:15:36 UTC 2025","passed","Tue Dec 09 02:15:36 UTC 2025","","test_markers","",""
"","0","test_critical_login","tests.pytest","Tue Dec 09 02:15:36 UTC 2025","passed","Tue Dec 09 02:15:36 UTC 2025","","test_markers","",""
"","0","test_log_out","tests.pytest","Tue Dec 09 02:15:36 UTC 2025","passed","Tue Dec 09 02:15:36 UTC 2025","TestUserAuthentification","test_markers","",""
"","1674","User login with wrong email or password","LMS System","Tue Dec 09 02:15:08 UTC 2025","passed","Tue Dec 09 02:15:10 UTC 2025","Authorization","Authentification","",""
"","1358","User login with wrong email or password","LMS System","Tue Dec 09 02:15:11 UTC 2025","passed","Tue Dec 09 02:15:12 UTC 2025","Authorization","Authentification","",""
"","3686","Create course","LMS System","Tue Dec 09 02:15:23 UTC 2025","passed","Tue Dec 09 02:15:27 UTC 2025","Courses","Courses","",""
"","1164","User login with wrong email or password","LMS System","Tue Dec 09 02:15:06 UTC 2025","passed","Tue Dec 09 02:15:07 UTC 2025","Authorization","Authentification","",""
"","5013","Edit course","LMS System","Tue Dec 09 02:15:29 UTC 2025","passed","Tue Dec 09 02:15:34 UTC 2025","Courses","Courses","",""
"","2049","User login with wrong email or password","LMS System","Tue Dec 09 02:15:13 UTC 2025","passed","Tue Dec 09 02:15:15 UTC 2025","Authorization","Authentification","",""
"","0","test_login","tests.pytest","Tue Dec 09 02:15:37 UTC 2025","passed","Tue Dec 09 02:15:37 UTC 2025","TestUserAuthentification","test_markers","",""
"","1879","Registration with correct email, username and password","LMS System","Tue Dec 09 02:15:15 UTC 2025","passed","Tue Dec 09 02:15:17 UTC 2025","Registration","Authentification","",""
"","1312","User login with wrong email or password","LMS System","Tue Dec 09 02:15:03 UTC 2025","passed","Tue Dec 09 02:15:05 UTC 2025","Authorization","Authentification","",""
"","1485","Navigation from login page to registration page","LMS System","Tue Dec 09 02:15:17 UTC 2025","passed","Tue Dec 09 02:15:18 UTC 2025","Authorization","Authentification","",""
"","0","test_forgot_password_link","tests.pytest","Tue Dec 09 02:15:36 UTC 2025","passed","Tue Dec 09 02:15:36 UTC 2025","TestUserInterface","test_markers","",""
"","5099","User login with correct email or password","LMS System","Tue Dec 09 02:15:11 UTC 2025","passed","Tue Dec 09 02:15:16 UTC 2025","Authorization","Authentification","",""
"","1650","Check displaying of dashboard page","LMS System","Tue Dec 09 02:15:34 UTC 2025","passed","Tue Dec 09 02:15:35 UTC 2025","Dashboard","Dashboard","",""
"","3615","Create course","LMS System","Tue Dec 09 02:15:23 UTC 2025","passed","Tue Dec 09 02:15:27 UTC 2025","Courses","Courses","",""
"","0","test_password_reset","tests.pytest","Tue Dec 09 02:15:36 UTC 2025","passed","Tue Dec 09 02:15:36 UTC 2025","TestUserAuthentification","test_markers","",""
"","1405","Check displaying of empty courses list","LMS System","Tue Dec 09 02:15:21 UTC 2025","passed","Tue Dec 09 02:15:22 UTC 2025","Courses","Courses","",""
"","1527","Navigation from login page to registration page","LMS System","Tue Dec 09 02:15:18 UTC 2025","passed","Tue Dec 09 02:15:20 UTC 2025","Authorization","Authentification","",""
"","2532","User login with correct email or password","LMS System","Tue Dec 09 02:15:08 UTC 2025","passed","Tue Dec 09 02:15:10 UTC 2025","Authorization","Authentification","",""
"","1268","Check displaying of empty courses list","LMS System","Tue Dec 09 02:15:22 UTC 2025","passed","Tue Dec 09 02:15:23 UTC 2025","Courses","Courses","",""
"","1637","Check displaying of dashboard page","LMS System","Tue Dec 09 02:15:36 UTC 2025","passed","Tue Dec 09 02:15:37 UTC 2025","Dashboard","Dashboard","",""
"","4021","Edit course","LMS System","Tue Dec 09 02:15:28 UTC 2025","passed","Tue Dec 09 02:15:32 UTC 2025","Courses","Courses","",""
"","1189","User login with wrong email or password","LMS System","Tue Dec 09 02:15:05 UTC 2025","passed","Tue Dec 09 02:15:06 UTC 2025","Authorization","Authentification","",""
