"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_log_out","tests.pytest","Thu Dec 18 17:18:05 UTC 2025","passed","Thu Dec 18 17:18:05 UTC 2025","TestUserAuthentification","test_markers","",""
"","1502","Navigation from login page to registration page","LMS System","Thu Dec 18 17:17:46 UTC 2025","passed","Thu Dec 18 17:17:48 UTC 2025","Authorization","Authentification","",""
"","0","test_password_reset","tests.pytest","Thu Dec 18 17:18:05 UTC 2025","passed","Thu Dec 18 17:18:05 UTC 2025","TestUserAuthentification","test_markers","",""
"","1639","User login with wrong email or password","LMS System","Thu Dec 18 17:17:28 UTC 2025","passed","Thu Dec 18 17:17:29 UTC 2025","Authorization","Authentification","",""
"","1489","User login with wrong email or password","LMS System","Thu Dec 18 17:17:34 UTC 2025","passed","Thu Dec 18 17:17:35 UTC 2025","Authorization","Authentification","",""
"","1396","Check displaying of empty courses list","LMS System","Thu Dec 18 17:17:47 UTC 2025","passed","Thu Dec 18 17:17:49 UTC 2025","Courses","Courses","",""
"","1550","User login with wrong email or password","LMS System","Thu Dec 18 17:17:30 UTC 2025","passed","Thu Dec 18 17:17:31 UTC 2025","Authorization","Authentification","",""
"","1524","Navigation from login page to registration page","LMS System","Thu Dec 18 17:17:44 UTC 2025","passed","Thu Dec 18 17:17:46 UTC 2025","Authorization","Authentification","",""
"","0","test_login","tests.pytest","Thu Dec 18 17:18:05 UTC 2025","passed","Thu Dec 18 17:18:05 UTC 2025","TestUserAuthentification","test_markers","",""
"","5953","Edit course","LMS System","Thu Dec 18 17:17:55 UTC 2025","passed","Thu Dec 18 17:18:01 UTC 2025","Courses","Courses","",""
"","2185","Check displaying of dashboard page","LMS System","Thu Dec 18 17:18:03 UTC 2025","passed","Thu Dec 18 17:18:05 UTC 2025","Dashboard","Dashboard","",""
"","4113","Create course","LMS System","Thu Dec 18 17:17:50 UTC 2025","passed","Thu Dec 18 17:17:54 UTC 2025","Courses","Courses","",""
"","2172","Registration with correct email, username and password","LMS System","Thu Dec 18 17:17:41 UTC 2025","passed","Thu Dec 18 17:17:43 UTC 2025","Registration","Authentification","",""
"","0","test_critical_login","tests.pytest","Thu Dec 18 17:18:05 UTC 2025","passed","Thu Dec 18 17:18:05 UTC 2025","","test_markers","",""
"","1779","User login with wrong email or password","LMS System","Thu Dec 18 17:17:31 UTC 2025","passed","Thu Dec 18 17:17:33 UTC 2025","Authorization","Authentification","",""
"","4003","Create course","LMS System","Thu Dec 18 17:17:49 UTC 2025","passed","Thu Dec 18 17:17:53 UTC 2025","Courses","Courses","",""
"","0","test_forgot_password_link","tests.pytest","Thu Dec 18 17:18:05 UTC 2025","passed","Thu Dec 18 17:18:05 UTC 2025","TestUserInterface","test_markers","",""
"","0","test_regression_case","tests.pytest","Thu Dec 18 17:18:05 UTC 2025","passed","Thu Dec 18 17:18:05 UTC 2025","","test_markers","",""
"","4270","Edit course","LMS System","Thu Dec 18 17:17:55 UTC 2025","passed","Thu Dec 18 17:18:00 UTC 2025","Courses","Courses","",""
"","1634","User login with wrong email or password","LMS System","Thu Dec 18 17:17:32 UTC 2025","passed","Thu Dec 18 17:17:33 UTC 2025","Authorization","Authentification","",""
"","2436","Check displaying of dashboard page","LMS System","Thu Dec 18 17:18:02 UTC 2025","passed","Thu Dec 18 17:18:05 UTC 2025","Dashboard","Dashboard","",""
"","1631","Check displaying of empty courses list","LMS System","Thu Dec 18 17:17:45 UTC 2025","passed","Thu Dec 18 17:17:47 UTC 2025","Courses","Courses","",""
"","2181","Registration with correct email, username and password","LMS System","Thu Dec 18 17:17:38 UTC 2025","passed","Thu Dec 18 17:17:40 UTC 2025","Registration","Authentification","",""
"","1699","User login with wrong email or password","LMS System","Thu Dec 18 17:17:36 UTC 2025","passed","Thu Dec 18 17:17:37 UTC 2025","Authorization","Authentification","",""
"","3278","User login with correct email or password","LMS System","Thu Dec 18 17:17:33 UTC 2025","passed","Thu Dec 18 17:17:37 UTC 2025","Authorization","Authentification","",""
"","6651","User login with correct email or password","LMS System","Thu Dec 18 17:17:37 UTC 2025","passed","Thu Dec 18 17:17:44 UTC 2025","Authorization","Authentification","",""
