"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_log_out","tests.pytest","Fri Dec 19 09:32:35 UTC 2025","passed","Fri Dec 19 09:32:35 UTC 2025","TestUserAuthentification","test_markers","",""
"","6290","User login with correct email or password","LMS System","Fri Dec 19 09:32:09 UTC 2025","passed","Fri Dec 19 09:32:15 UTC 2025","Authorization","Authentification","",""
"","3896","Create course","LMS System","Fri Dec 19 09:32:20 UTC 2025","passed","Fri Dec 19 09:32:24 UTC 2025","Courses","Courses","",""
"","2098","Check displaying of dashboard page","LMS System","Fri Dec 19 09:32:33 UTC 2025","passed","Fri Dec 19 09:32:35 UTC 2025","Dashboard","Dashboard","",""
"","1314","Navigation from login page to registration page","LMS System","Fri Dec 19 09:32:17 UTC 2025","passed","Fri Dec 19 09:32:19 UTC 2025","Authorization","Authentification","",""
"","2398","Check displaying of dashboard page","LMS System","Fri Dec 19 09:32:32 UTC 2025","passed","Fri Dec 19 09:32:35 UTC 2025","Dashboard","Dashboard","",""
"","3748","User login with correct email or password","LMS System","Fri Dec 19 09:32:05 UTC 2025","passed","Fri Dec 19 09:32:08 UTC 2025","Authorization","Authentification","",""
"","1","test_login","tests.pytest","Fri Dec 19 09:32:35 UTC 2025","passed","Fri Dec 19 09:32:35 UTC 2025","TestUserAuthentification","test_markers","",""
"","5928","Edit course","LMS System","Fri Dec 19 09:32:25 UTC 2025","passed","Fri Dec 19 09:32:31 UTC 2025","Courses","Courses","",""
"","0","test_forgot_password_link","tests.pytest","Fri Dec 19 09:32:35 UTC 2025","passed","Fri Dec 19 09:32:35 UTC 2025","TestUserInterface","test_markers","",""
"","4302","Edit course","LMS System","Fri Dec 19 09:32:26 UTC 2025","passed","Fri Dec 19 09:32:30 UTC 2025","Courses","Courses","",""
"","1729","User login with wrong email or password","LMS System","Fri Dec 19 09:32:01 UTC 2025","passed","Fri Dec 19 09:32:02 UTC 2025","Authorization","Authentification","",""
"","1594","User login with wrong email or password","LMS System","Fri Dec 19 09:32:07 UTC 2025","passed","Fri Dec 19 09:32:08 UTC 2025","Authorization","Authentification","",""
"","1618","Check displaying of empty courses list","LMS System","Fri Dec 19 09:32:16 UTC 2025","passed","Fri Dec 19 09:32:18 UTC 2025","Courses","Courses","",""
"","2099","Registration with correct email, username and password","LMS System","Fri Dec 19 09:32:12 UTC 2025","passed","Fri Dec 19 09:32:14 UTC 2025","Registration","Authentification","",""
"","1772","User login with wrong email or password","LMS System","Fri Dec 19 09:31:59 UTC 2025","passed","Fri Dec 19 09:32:00 UTC 2025","Authorization","Authentification","",""
"","0","test_critical_login","tests.pytest","Fri Dec 19 09:32:35 UTC 2025","passed","Fri Dec 19 09:32:35 UTC 2025","","test_markers","",""
"","0","test_password_reset","tests.pytest","Fri Dec 19 09:32:35 UTC 2025","passed","Fri Dec 19 09:32:35 UTC 2025","TestUserAuthentification","test_markers","",""
"","1484","Navigation from login page to registration page","LMS System","Fri Dec 19 09:32:16 UTC 2025","passed","Fri Dec 19 09:32:17 UTC 2025","Authorization","Authentification","",""
"","1557","User login with wrong email or password","LMS System","Fri Dec 19 09:32:03 UTC 2025","passed","Fri Dec 19 09:32:04 UTC 2025","Authorization","Authentification","",""
"","1545","User login with wrong email or password","LMS System","Fri Dec 19 09:32:05 UTC 2025","passed","Fri Dec 19 09:32:06 UTC 2025","Authorization","Authentification","",""
"","0","test_regression_case","tests.pytest","Fri Dec 19 09:32:35 UTC 2025","passed","Fri Dec 19 09:32:35 UTC 2025","","test_markers","",""
"","2146","Registration with correct email, username and password","LMS System","Fri Dec 19 09:32:09 UTC 2025","passed","Fri Dec 19 09:32:11 UTC 2025","Registration","Authentification","",""
"","3863","Create course","LMS System","Fri Dec 19 09:32:21 UTC 2025","passed","Fri Dec 19 09:32:25 UTC 2025","Courses","Courses","",""
"","1247","Check displaying of empty courses list","LMS System","Fri Dec 19 09:32:18 UTC 2025","passed","Fri Dec 19 09:32:20 UTC 2025","Courses","Courses","",""
"","1717","User login with wrong email or password","LMS System","Fri Dec 19 09:32:03 UTC 2025","passed","Fri Dec 19 09:32:04 UTC 2025","Authorization","Authentification","",""
