"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1318","Check displaying of empty courses list","LMS System","Mon Dec 08 17:27:51 UTC 2025","passed","Mon Dec 08 17:27:52 UTC 2025","Courses","Courses","",""
"","1534","Navigation from login page to registration page","LMS System","Mon Dec 08 17:27:48 UTC 2025","passed","Mon Dec 08 17:27:50 UTC 2025","Authorization","Authentification","",""
"","1535","User login with wrong email or password","LMS System","Mon Dec 08 17:27:43 UTC 2025","passed","Mon Dec 08 17:27:44 UTC 2025","Authorization","Authentification","",""
"","2083","Check displaying of dashboard page","LMS System","Mon Dec 08 17:28:06 UTC 2025","passed","Mon Dec 08 17:28:08 UTC 2025","Dashboard","Dashboard","",""
"","5034","Edit course","LMS System","Mon Dec 08 17:27:59 UTC 2025","passed","Mon Dec 08 17:28:04 UTC 2025","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","Mon Dec 08 17:28:08 UTC 2025","passed","Mon Dec 08 17:28:08 UTC 2025","","test_markers","",""
"","2151","Registration with correct email, username and password","LMS System","Mon Dec 08 17:27:47 UTC 2025","passed","Mon Dec 08 17:27:49 UTC 2025","Registration","Authentification","",""
"","1917","Check displaying of dashboard page","LMS System","Mon Dec 08 17:28:09 UTC 2025","passed","Mon Dec 08 17:28:11 UTC 2025","Dashboard","Dashboard","",""
"","3636","Create course","LMS System","Mon Dec 08 17:27:55 UTC 2025","passed","Mon Dec 08 17:27:59 UTC 2025","Courses","Courses","",""
"","0","test_login","tests.pytest","Mon Dec 08 17:28:08 UTC 2025","passed","Mon Dec 08 17:28:08 UTC 2025","TestUserAuthentification","test_markers","",""
"","1844","Check displaying of empty courses list","LMS System","Mon Dec 08 17:27:53 UTC 2025","passed","Mon Dec 08 17:27:55 UTC 2025","Courses","Courses","",""
"","1","test_log_out","tests.pytest","Mon Dec 08 17:28:08 UTC 2025","passed","Mon Dec 08 17:28:08 UTC 2025","TestUserAuthentification","test_markers","",""
"","1678","User login with wrong email or password","LMS System","Mon Dec 08 17:27:38 UTC 2025","passed","Mon Dec 08 17:27:40 UTC 2025","Authorization","Authentification","",""
"","0","test_critical_login","tests.pytest","Mon Dec 08 17:28:08 UTC 2025","passed","Mon Dec 08 17:28:08 UTC 2025","","test_markers","",""
"","1192","User login with wrong email or password","LMS System","Mon Dec 08 17:27:36 UTC 2025","passed","Mon Dec 08 17:27:38 UTC 2025","Authorization","Authentification","",""
"","6917","Edit course","LMS System","Mon Dec 08 17:28:01 UTC 2025","passed","Mon Dec 08 17:28:07 UTC 2025","Courses","Courses","",""
"","1889","Registration with correct email, username and password","LMS System","Mon Dec 08 17:27:44 UTC 2025","passed","Mon Dec 08 17:27:46 UTC 2025","Registration","Authentification","",""
"","0","test_forgot_password_link","tests.pytest","Mon Dec 08 17:28:08 UTC 2025","passed","Mon Dec 08 17:28:08 UTC 2025","TestUserInterface","test_markers","",""
"","1562","User login with wrong email or password","LMS System","Mon Dec 08 17:27:35 UTC 2025","passed","Mon Dec 08 17:27:36 UTC 2025","Authorization","Authentification","",""
"","4513","User login with correct email or password","LMS System","Mon Dec 08 17:27:43 UTC 2025","passed","Mon Dec 08 17:27:47 UTC 2025","Authorization","Authentification","",""
"","4002","Create course","LMS System","Mon Dec 08 17:27:54 UTC 2025","passed","Mon Dec 08 17:27:58 UTC 2025","Courses","Courses","",""
"","1356","User login with wrong email or password","LMS System","Mon Dec 08 17:27:38 UTC 2025","passed","Mon Dec 08 17:27:39 UTC 2025","Authorization","Authentification","",""
"","2842","User login with correct email or password","LMS System","Mon Dec 08 17:27:39 UTC 2025","passed","Mon Dec 08 17:27:42 UTC 2025","Authorization","Authentification","",""
"","1362","Navigation from login page to registration page","LMS System","Mon Dec 08 17:27:50 UTC 2025","passed","Mon Dec 08 17:27:51 UTC 2025","Authorization","Authentification","",""
"","1733","User login with wrong email or password","LMS System","Mon Dec 08 17:27:40 UTC 2025","passed","Mon Dec 08 17:27:42 UTC 2025","Authorization","Authentification","",""
"","0","test_password_reset","tests.pytest","Mon Dec 08 17:28:08 UTC 2025","passed","Mon Dec 08 17:28:08 UTC 2025","TestUserAuthentification","test_markers","",""
