"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1705","Check displaying of empty courses list","LMS System","Fri Dec 19 09:26:45 UTC 2025","passed","Fri Dec 19 09:26:47 UTC 2025","Courses","Courses","",""
"","1680","User login with wrong email or password","LMS System","Fri Dec 19 09:26:36 UTC 2025","passed","Fri Dec 19 09:26:38 UTC 2025","Authorization","Authentification","",""
"","1","test_regression_case","tests.pytest","Fri Dec 19 09:27:04 UTC 2025","passed","Fri Dec 19 09:27:04 UTC 2025","","test_markers","",""
"","0","test_login","tests.pytest","Fri Dec 19 09:27:05 UTC 2025","passed","Fri Dec 19 09:27:05 UTC 2025","TestUserAuthentification","test_markers","",""
"","0","test_critical_login","tests.pytest","Fri Dec 19 09:27:04 UTC 2025","passed","Fri Dec 19 09:27:04 UTC 2025","","test_markers","",""
"","3779","Create course","LMS System","Fri Dec 19 09:26:49 UTC 2025","passed","Fri Dec 19 09:26:53 UTC 2025","Courses","Courses","",""
"","1410","Navigation from login page to registration page","LMS System","Fri Dec 19 09:26:46 UTC 2025","passed","Fri Dec 19 09:26:48 UTC 2025","Authorization","Authentification","",""
"","1482","User login with wrong email or password","LMS System","Fri Dec 19 09:26:30 UTC 2025","passed","Fri Dec 19 09:26:32 UTC 2025","Authorization","Authentification","",""
"","2006","Check displaying of dashboard page","LMS System","Fri Dec 19 09:27:02 UTC 2025","passed","Fri Dec 19 09:27:04 UTC 2025","Dashboard","Dashboard","",""
"","1338","Check displaying of empty courses list","LMS System","Fri Dec 19 09:26:47 UTC 2025","passed","Fri Dec 19 09:26:49 UTC 2025","Courses","Courses","",""
"","6479","User login with correct email or password","LMS System","Fri Dec 19 09:26:37 UTC 2025","passed","Fri Dec 19 09:26:44 UTC 2025","Authorization","Authentification","",""
"","2036","Registration with correct email, username and password","LMS System","Fri Dec 19 09:26:38 UTC 2025","passed","Fri Dec 19 09:26:40 UTC 2025","Registration","Authentification","",""
"","1379","User login with wrong email or password","LMS System","Fri Dec 19 09:26:34 UTC 2025","passed","Fri Dec 19 09:26:35 UTC 2025","Authorization","Authentification","",""
"","0","test_forgot_password_link","tests.pytest","Fri Dec 19 09:27:04 UTC 2025","passed","Fri Dec 19 09:27:04 UTC 2025","TestUserInterface","test_markers","",""
"","1562","User login with wrong email or password","LMS System","Fri Dec 19 09:26:32 UTC 2025","passed","Fri Dec 19 09:26:33 UTC 2025","Authorization","Authentification","",""
"","4134","Create course","LMS System","Fri Dec 19 09:26:50 UTC 2025","passed","Fri Dec 19 09:26:54 UTC 2025","Courses","Courses","",""
"","1640","User login with wrong email or password","LMS System","Fri Dec 19 09:26:32 UTC 2025","passed","Fri Dec 19 09:26:34 UTC 2025","Authorization","Authentification","",""
"","2469","Registration with correct email, username and password","LMS System","Fri Dec 19 09:26:41 UTC 2025","passed","Fri Dec 19 09:26:43 UTC 2025","Registration","Authentification","",""
"","1","test_password_reset","tests.pytest","Fri Dec 19 09:27:04 UTC 2025","passed","Fri Dec 19 09:27:04 UTC 2025","TestUserAuthentification","test_markers","",""
"","2949","User login with correct email or password","LMS System","Fri Dec 19 09:26:34 UTC 2025","passed","Fri Dec 19 09:26:37 UTC 2025","Authorization","Authentification","",""
"","2154","Check displaying of dashboard page","LMS System","Fri Dec 19 09:27:03 UTC 2025","passed","Fri Dec 19 09:27:05 UTC 2025","Dashboard","Dashboard","",""
"","1486","Navigation from login page to registration page","LMS System","Fri Dec 19 09:26:44 UTC 2025","passed","Fri Dec 19 09:26:46 UTC 2025","Authorization","Authentification","",""
"","6459","Edit course","LMS System","Fri Dec 19 09:26:55 UTC 2025","passed","Fri Dec 19 09:27:01 UTC 2025","Courses","Courses","",""
"","4319","Edit course","LMS System","Fri Dec 19 09:26:55 UTC 2025","passed","Fri Dec 19 09:26:59 UTC 2025","Courses","Courses","",""
"","0","test_log_out","tests.pytest","Fri Dec 19 09:27:04 UTC 2025","passed","Fri Dec 19 09:27:04 UTC 2025","TestUserAuthentification","test_markers","",""
"","1795","User login with wrong email or password","LMS System","Fri Dec 19 09:26:28 UTC 2025","passed","Fri Dec 19 09:26:30 UTC 2025","Authorization","Authentification","",""
