"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2842","User login with correct email or password","LMS System","Mon Dec 08 17:19:14 UTC 2025","passed","Mon Dec 08 17:19:17 UTC 2025","Authorization","Authentification","",""
"","1804","User login with wrong email or password","LMS System","Mon Dec 08 17:19:14 UTC 2025","passed","Mon Dec 08 17:19:15 UTC 2025","Authorization","Authentification","",""
"","1407","Check displaying of empty courses list","LMS System","Mon Dec 08 17:19:27 UTC 2025","passed","Mon Dec 08 17:19:28 UTC 2025","Courses","Courses","",""
"","3396","Create course","LMS System","Mon Dec 08 17:19:31 UTC 2025","passed","Mon Dec 08 17:19:34 UTC 2025","Courses","Courses","",""
"","1713","User login with wrong email or password","LMS System","Mon Dec 08 17:19:16 UTC 2025","passed","Mon Dec 08 17:19:18 UTC 2025","Authorization","Authentification","",""
"","0","test_login","tests.pytest","Mon Dec 08 17:19:45 UTC 2025","passed","Mon Dec 08 17:19:45 UTC 2025","TestUserAuthentification","test_markers","",""
"","0","test_log_out","tests.pytest","Mon Dec 08 17:19:43 UTC 2025","passed","Mon Dec 08 17:19:43 UTC 2025","TestUserAuthentification","test_markers","",""
"","1593","Registration with correct email, username and password","LMS System","Mon Dec 08 17:19:21 UTC 2025","passed","Mon Dec 08 17:19:22 UTC 2025","Registration","Authentification","",""
"","5493","User login with correct email or password","LMS System","Mon Dec 08 17:19:18 UTC 2025","passed","Mon Dec 08 17:19:24 UTC 2025","Authorization","Authentification","",""
"","0","test_regression_case","tests.pytest","Mon Dec 08 17:19:43 UTC 2025","passed","Mon Dec 08 17:19:43 UTC 2025","","test_markers","",""
"","4118","Create course","LMS System","Mon Dec 08 17:19:29 UTC 2025","passed","Mon Dec 08 17:19:33 UTC 2025","Courses","Courses","",""
"","1","test_forgot_password_link","tests.pytest","Mon Dec 08 17:19:43 UTC 2025","passed","Mon Dec 08 17:19:43 UTC 2025","TestUserInterface","test_markers","",""
"","1643","Check displaying of dashboard page","LMS System","Mon Dec 08 17:19:43 UTC 2025","passed","Mon Dec 08 17:19:45 UTC 2025","Dashboard","Dashboard","",""
"","1610","User login with wrong email or password","LMS System","Mon Dec 08 17:19:10 UTC 2025","passed","Mon Dec 08 17:19:11 UTC 2025","Authorization","Authentification","",""
"","1833","Check displaying of dashboard page","LMS System","Mon Dec 08 17:19:41 UTC 2025","passed","Mon Dec 08 17:19:43 UTC 2025","Dashboard","Dashboard","",""
"","0","test_password_reset","tests.pytest","Mon Dec 08 17:19:43 UTC 2025","passed","Mon Dec 08 17:19:43 UTC 2025","TestUserAuthentification","test_markers","",""
"","1167","User login with wrong email or password","LMS System","Mon Dec 08 17:19:12 UTC 2025","passed","Mon Dec 08 17:19:13 UTC 2025","Authorization","Authentification","",""
"","1396","Check displaying of empty courses list","LMS System","Mon Dec 08 17:19:29 UTC 2025","passed","Mon Dec 08 17:19:30 UTC 2025","Courses","Courses","",""
"","4097","Edit course","LMS System","Mon Dec 08 17:19:35 UTC 2025","passed","Mon Dec 08 17:19:39 UTC 2025","Courses","Courses","",""
"","5265","Edit course","LMS System","Mon Dec 08 17:19:36 UTC 2025","passed","Mon Dec 08 17:19:41 UTC 2025","Courses","Courses","",""
"","1807","User login with wrong email or password","LMS System","Mon Dec 08 17:19:18 UTC 2025","passed","Mon Dec 08 17:19:20 UTC 2025","Authorization","Authentification","",""
"","1362","Navigation from login page to registration page","LMS System","Mon Dec 08 17:19:24 UTC 2025","passed","Mon Dec 08 17:19:25 UTC 2025","Authorization","Authentification","",""
"","1368","Navigation from login page to registration page","LMS System","Mon Dec 08 17:19:26 UTC 2025","passed","Mon Dec 08 17:19:27 UTC 2025","Authorization","Authentification","",""
"","0","test_critical_login","tests.pytest","Mon Dec 08 17:19:43 UTC 2025","passed","Mon Dec 08 17:19:43 UTC 2025","","test_markers","",""
"","2120","Registration with correct email, username and password","LMS System","Mon Dec 08 17:19:23 UTC 2025","passed","Mon Dec 08 17:19:25 UTC 2025","Registration","Authentification","",""
"","1335","User login with wrong email or password","LMS System","Mon Dec 08 17:19:13 UTC 2025","passed","Mon Dec 08 17:19:14 UTC 2025","Authorization","Authentification","",""
