"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2322","Registration with correct email, username and password","LMS System","Mon Dec 08 09:41:21 UTC 2025","passed","Mon Dec 08 09:41:24 UTC 2025","Registration","Authentification","",""
"","1350","User login with wrong email or password","LMS System","Mon Dec 08 09:41:12 UTC 2025","passed","Mon Dec 08 09:41:13 UTC 2025","Authorization","Authentification","",""
"","0","test_password_reset","tests.pytest","Mon Dec 08 09:41:42 UTC 2025","passed","Mon Dec 08 09:41:42 UTC 2025","TestUserAuthentification","test_markers","",""
"","1","test_critical_login","tests.pytest","Mon Dec 08 09:41:42 UTC 2025","passed","Mon Dec 08 09:41:42 UTC 2025","","test_markers","",""
"","1632","Check displaying of empty courses list","LMS System","Mon Dec 08 09:41:28 UTC 2025","passed","Mon Dec 08 09:41:30 UTC 2025","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","Mon Dec 08 09:41:42 UTC 2025","passed","Mon Dec 08 09:41:42 UTC 2025","","test_markers","",""
"","1286","User login with wrong email or password","LMS System","Mon Dec 08 09:41:09 UTC 2025","passed","Mon Dec 08 09:41:10 UTC 2025","Authorization","Authentification","",""
"","0","test_log_out","tests.pytest","Mon Dec 08 09:41:42 UTC 2025","passed","Mon Dec 08 09:41:42 UTC 2025","TestUserAuthentification","test_markers","",""
"","1963","User login with wrong email or password","LMS System","Mon Dec 08 09:41:14 UTC 2025","passed","Mon Dec 08 09:41:16 UTC 2025","Authorization","Authentification","",""
"","1557","Navigation from login page to registration page","LMS System","Mon Dec 08 09:41:23 UTC 2025","passed","Mon Dec 08 09:41:25 UTC 2025","Authorization","Authentification","",""
"","1446","Navigation from login page to registration page","LMS System","Mon Dec 08 09:41:25 UTC 2025","passed","Mon Dec 08 09:41:27 UTC 2025","Authorization","Authentification","",""
"","3673","Create course","LMS System","Mon Dec 08 09:41:29 UTC 2025","passed","Mon Dec 08 09:41:32 UTC 2025","Courses","Courses","",""
"","1669","Check displaying of dashboard page","LMS System","Mon Dec 08 09:41:40 UTC 2025","passed","Mon Dec 08 09:41:41 UTC 2025","Dashboard","Dashboard","",""
"","1","test_login","tests.pytest","Mon Dec 08 09:41:42 UTC 2025","passed","Mon Dec 08 09:41:42 UTC 2025","TestUserAuthentification","test_markers","",""
"","1600","User login with wrong email or password","LMS System","Mon Dec 08 09:41:12 UTC 2025","passed","Mon Dec 08 09:41:14 UTC 2025","Authorization","Authentification","",""
"","6035","User login with correct email or password","LMS System","Mon Dec 08 09:41:17 UTC 2025","passed","Mon Dec 08 09:41:23 UTC 2025","Authorization","Authentification","",""
"","1217","User login with wrong email or password","LMS System","Mon Dec 08 09:41:11 UTC 2025","passed","Mon Dec 08 09:41:12 UTC 2025","Authorization","Authentification","",""
"","3568","Create course","LMS System","Mon Dec 08 09:41:30 UTC 2025","passed","Mon Dec 08 09:41:33 UTC 2025","Courses","Courses","",""
"","4183","Edit course","LMS System","Mon Dec 08 09:41:34 UTC 2025","passed","Mon Dec 08 09:41:38 UTC 2025","Courses","Courses","",""
"","2615","User login with correct email or password","LMS System","Mon Dec 08 09:41:13 UTC 2025","passed","Mon Dec 08 09:41:16 UTC 2025","Authorization","Authentification","",""
"","1856","Registration with correct email, username and password","LMS System","Mon Dec 08 09:41:19 UTC 2025","passed","Mon Dec 08 09:41:21 UTC 2025","Registration","Authentification","",""
"","1","test_forgot_password_link","tests.pytest","Mon Dec 08 09:41:42 UTC 2025","passed","Mon Dec 08 09:41:42 UTC 2025","TestUserInterface","test_markers","",""
"","1784","Check displaying of dashboard page","LMS System","Mon Dec 08 09:41:42 UTC 2025","passed","Mon Dec 08 09:41:44 UTC 2025","Dashboard","Dashboard","",""
"","5369","Edit course","LMS System","Mon Dec 08 09:41:35 UTC 2025","passed","Mon Dec 08 09:41:41 UTC 2025","Courses","Courses","",""
"","1329","Check displaying of empty courses list","LMS System","Mon Dec 08 09:41:26 UTC 2025","passed","Mon Dec 08 09:41:27 UTC 2025","Courses","Courses","",""
"","1768","User login with wrong email or password","LMS System","Mon Dec 08 09:41:17 UTC 2025","passed","Mon Dec 08 09:41:19 UTC 2025","Authorization","Authentification","",""
