"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1746","User login with wrong email or password","LMS System","Sat Dec 27 12:38:40 UTC 2025","passed","Sat Dec 27 12:38:42 UTC 2025","Authorization","Authentification","",""
"","1668","User login with wrong email or password","LMS System","Sat Dec 27 12:38:42 UTC 2025","passed","Sat Dec 27 12:38:44 UTC 2025","Authorization","Authentification","",""
"","1970","User login with wrong email or password","LMS System","Sat Dec 27 12:38:35 UTC 2025","passed","Sat Dec 27 12:38:37 UTC 2025","Authorization","Authentification","",""
"","2068","Check displaying of dashboard page","LMS System","Sat Dec 27 12:39:07 UTC 2025","passed","Sat Dec 27 12:39:09 UTC 2025","Dashboard","Dashboard","",""
"","1934","User login with wrong email or password","LMS System","Sat Dec 27 12:38:35 UTC 2025","passed","Sat Dec 27 12:38:37 UTC 2025","Authorization","Authentification","",""
"","1721","Check displaying of dashboard page","LMS System","Sat Dec 27 12:39:10 UTC 2025","passed","Sat Dec 27 12:39:12 UTC 2025","Dashboard","Dashboard","",""
"","1914","Registration with correct email, username and password","LMS System","Sat Dec 27 12:38:50 UTC 2025","passed","Sat Dec 27 12:38:52 UTC 2025","Registration","Authentification","",""
"","2868","User login with correct email or password","LMS System","Sat Dec 27 12:38:45 UTC 2025","passed","Sat Dec 27 12:38:47 UTC 2025","Authorization","Authentification","",""
"","3982","Create course","LMS System","Sat Dec 27 12:38:57 UTC 2025","passed","Sat Dec 27 12:39:01 UTC 2025","Courses","Courses","",""
"","1497","Check displaying of empty courses list","LMS System","Sat Dec 27 12:38:55 UTC 2025","passed","Sat Dec 27 12:38:57 UTC 2025","Courses","Courses","",""
"","1407","User login with wrong email or password","LMS System","Sat Dec 27 12:38:40 UTC 2025","passed","Sat Dec 27 12:38:42 UTC 2025","Authorization","Authentification","",""
"","6413","User login with correct email or password","LMS System","Sat Dec 27 12:38:43 UTC 2025","passed","Sat Dec 27 12:38:49 UTC 2025","Authorization","Authentification","",""
"","1776","Navigation from login page to registration page","LMS System","Sat Dec 27 12:38:48 UTC 2025","passed","Sat Dec 27 12:38:50 UTC 2025","Authorization","Authentification","",""
"","1662","Check displaying of empty courses list","LMS System","Sat Dec 27 12:38:54 UTC 2025","passed","Sat Dec 27 12:38:55 UTC 2025","Courses","Courses","",""
"","2035","Registration with correct email, username and password","LMS System","Sat Dec 27 12:38:51 UTC 2025","passed","Sat Dec 27 12:38:53 UTC 2025","Registration","Authentification","",""
"","1582","Navigation from login page to registration page","LMS System","Sat Dec 27 12:38:49 UTC 2025","passed","Sat Dec 27 12:38:51 UTC 2025","Authorization","Authentification","",""
"","1500","User login with wrong email or password","LMS System","Sat Dec 27 12:38:37 UTC 2025","passed","Sat Dec 27 12:38:38 UTC 2025","Authorization","Authentification","",""
"","3726","Edit course","LMS System","Sat Dec 27 12:39:01 UTC 2025","passed","Sat Dec 27 12:39:05 UTC 2025","Courses","Courses","",""
"","5648","Edit course","LMS System","Sat Dec 27 12:39:03 UTC 2025","passed","Sat Dec 27 12:39:09 UTC 2025","Courses","Courses","",""
"","3787","Create course","LMS System","Sat Dec 27 12:38:56 UTC 2025","passed","Sat Dec 27 12:38:59 UTC 2025","Courses","Courses","",""
